device_id,customer_id,device_type,os,browser,ip_address,user_agent,first_seen_at,last_seen_at,created_at
45c8cd0e-eaba-4f66-8e95-27fda0ecdb50,4ae09629-8052-4055-828c-708de0fa546a,mobile,Android 13,,177.128.72.3,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_8_8) AppleWebKit/531.2 (KHTML, like Gecko) Chrome/51.0.803.0 Safari/531.2",2023-12-28T00:00:00+00:00,2026-05-14T00:00:00+00:00,2023-12-28T00:00:00+00:00
b9bbf5d1-9d6c-4e0f-b207-dfef4eb1da10,4ae09629-8052-4055-828c-708de0fa546a,desktop,Windows 11,,16.215.161.100,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/532.2 (KHTML, like Gecko) Chrome/19.0.811.0 Safari/532.2",2020-09-09T00:00:00+00:00,2025-07-13T00:00:00+00:00,2020-09-09T00:00:00+00:00
6aeebb9c-91c0-4e7f-a487-82816e40da7f,776a3cbb-42aa-4d18-8a80-f2efca3a6674,mobile,iOS 16,,105.62.95.207,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_9_1) AppleWebKit/536.0 (KHTML, like Gecko) Chrome/51.0.881.0 Safari/536.0",2022-06-18T00:00:00+00:00,2026-09-05T00:00:00+00:00,2022-06-18T00:00:00+00:00
ed24af47-64e9-4b11-a9c0-66ca2ebb3135,776a3cbb-42aa-4d18-8a80-f2efca3a6674,tablet,Android 13,,25.237.89.165,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_1 like Mac OS X; ast-ES) AppleWebKit/532.44.3 (KHTML, like Gecko) Version/4.0.5 Mobile/8B117 Safari/6532.44.3",2021-07-17T00:00:00+00:00,2023-09-11T00:00:00+00:00,2021-07-17T00:00:00+00:00
8fad0adc-187c-4651-9993-13fc8181aa14,300658ed-9416-4bf7-9d76-92169e55f97e,desktop,Windows 11,Safari/17.4,182.154.202.30,Opera/9.84.(Windows NT 4.0; dv-MV) Presto/2.9.183 Version/12.00,2019-08-10T00:00:00+00:00,2020-10-03T00:00:00+00:00,2019-08-10T00:00:00+00:00
200be55c-f3c3-4d4c-964b-0b4688a026b5,300658ed-9416-4bf7-9d76-92169e55f97e,mobile,Android 14,,90.250.235.50,Opera/9.21.(X11; Linux x86_64; lo-LA) Presto/2.9.164 Version/12.00,2021-11-08T00:00:00+00:00,2023-04-16T00:00:00+00:00,2021-11-08T00:00:00+00:00
ef011476-602b-4491-b0a4-00995d50c674,a9b92a1d-4574-48ca-a90e-319d637e3f94,desktop,Windows 10,Chrome/123.0,91.149.22.82,"Mozilla/5.0 (Windows NT 5.2) AppleWebKit/531.0 (KHTML, like Gecko) Chrome/13.0.887.0 Safari/531.0",2020-09-30T00:00:00+00:00,2025-08-20T00:00:00+00:00,2020-09-30T00:00:00+00:00
b6e84e2e-5430-4991-a763-e6a67c4e4461,d2f98849-efa8-47a7-a956-8c6726ffb2a1,mobile,Android 14,Safari/17.4,37.4.135.228,"Mozilla/5.0 (Windows; U; Windows NT 5.2) AppleWebKit/531.41.3 (KHTML, like Gecko) Version/4.0.2 Safari/531.41.3",2020-08-19T00:00:00+00:00,2024-10-07T00:00:00+00:00,2020-08-19T00:00:00+00:00
6998b6ca-0fcd-463b-97a5-4c16c512bbbf,d2f98849-efa8-47a7-a956-8c6726ffb2a1,mobile,iOS 17.4,,17.130.232.231,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.5.20) Gecko/9025-06-01 15:32:42.048187 Firefox/5.0,2020-02-05T00:00:00+00:00,2022-05-05T00:00:00+00:00,2020-02-05T00:00:00+00:00
0c5728e0-15b2-4847-a74b-0ec5c18edf33,c275da34-881e-40c6-ac8f-8833fb116ab6,mobile,iOS 17,Safari/17.4,157.184.239.126,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/531.1 (KHTML, like Gecko) Chrome/59.0.873.0 Safari/531.1",2022-03-05T00:00:00+00:00,2024-01-21T00:00:00+00:00,2022-03-05T00:00:00+00:00
f161212f-d3bb-4334-94aa-1feae25b0264,5dc1aba0-0e3b-4441-b3d0-3eba59d23f31,mobile,iOS 17,,163.134.60.209,"Mozilla/5.0 (Windows 98; Win 9x 4.90) AppleWebKit/534.2 (KHTML, like Gecko) Chrome/30.0.859.0 Safari/534.2",2021-10-12T00:00:00+00:00,2023-01-04T00:00:00+00:00,2021-10-12T00:00:00+00:00
5aff6f2a-7aa6-4d4b-a9a2-f4454a4d5f36,21f8b225-1644-4645-b17a-035505b3f116,mobile,Android 14,Edge/123.0,96.59.193.131,Opera/8.58.(Windows NT 5.1; gl-ES) Presto/2.9.188 Version/10.00,2023-07-27T00:00:00+00:00,2025-06-04T00:00:00+00:00,2023-07-27T00:00:00+00:00
dbc350bc-345f-4694-bb74-86e53e8897fd,21f8b225-1644-4645-b17a-035505b3f116,mobile,Android 13,Chrome/123.0,36.116.116.179,"Mozilla/5.0 (Windows 95) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/50.0.894.0 Safari/534.1",2022-02-10T00:00:00+00:00,2022-10-03T00:00:00+00:00,2022-02-10T00:00:00+00:00
0a4224e3-4e21-4013-84d6-8d35445b9b08,45957a60-194d-497d-b09d-cd19413b4e20,desktop,macOS 14,Chrome/123.0,44.157.233.10,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_9_3) AppleWebKit/535.0 (KHTML, like Gecko) Chrome/55.0.891.0 Safari/535.0",2020-08-04T00:00:00+00:00,2022-07-18T00:00:00+00:00,2020-08-04T00:00:00+00:00
e00bf994-a88d-4ce9-be82-eb7e786a0739,821a769a-0878-436b-a25b-3804696a44a8,mobile,Android 14,Safari/17.4,28.104.119.20,Opera/8.19.(Windows NT 10.0; bo-CN) Presto/2.9.174 Version/12.00,2019-02-12T00:00:00+00:00,2020-08-27T00:00:00+00:00,2019-02-12T00:00:00+00:00
f7df3b52-4601-4f3d-b440-b9313493b320,821a769a-0878-436b-a25b-3804696a44a8,tablet,iPadOS 16,,169.49.80.68,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_12_8 rv:4.0; hr-HR) AppleWebKit/532.33.3 (KHTML, like Gecko) Version/5.0 Safari/532.33.3",2021-01-27T00:00:00+00:00,2025-04-01T00:00:00+00:00,2021-01-27T00:00:00+00:00
1bbafce3-b7b2-4f35-a89b-40d53bed2b84,821a769a-0878-436b-a25b-3804696a44a8,tablet,Android 13,,16.188.148.211,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_9_0) AppleWebKit/531.2 (KHTML, like Gecko) Chrome/18.0.881.0 Safari/531.2",2023-12-04T00:00:00+00:00,2025-12-01T00:00:00+00:00,2023-12-04T00:00:00+00:00
3558db3d-368c-47ee-9ec6-8c771dd7fd00,0babd139-480c-469d-99b3-3751cb68abfa,tablet,iPadOS 17,,95.207.50.25,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_11_9; rv:1.9.3.20) Gecko/7932-09-10 05:35:57.890991 Firefox/12.0,2021-02-13T00:00:00+00:00,2025-01-05T00:00:00+00:00,2021-02-13T00:00:00+00:00
a016a111-15b8-44e9-a88c-d8621922b4d4,f7b453f5-92a7-4604-836d-f96e33a032ee,pos_terminal,Android 9,,137.20.116.28,,2023-04-12T00:00:00+00:00,2026-07-27T00:00:00+00:00,2023-04-12T00:00:00+00:00
fd7d66f8-a5de-4cca-9a56-54ff5201ea78,f7b453f5-92a7-4604-836d-f96e33a032ee,desktop,macOS 14,Edge/123.0,16.155.133.26,Opera/8.58.(X11; Linux i686; id-ID) Presto/2.9.185 Version/12.00,2023-11-23T00:00:00+00:00,2024-03-31T00:00:00+00:00,2023-11-23T00:00:00+00:00
2f9550e0-84dd-4017-b5eb-0bdb32c0f52b,bc8ad1c7-f283-4e38-98e6-2f0bffa0c61e,desktop,Ubuntu 22.04,Firefox/125.0,121.72.54.242,"Mozilla/5.0 (Windows NT 5.01) AppleWebKit/534.0 (KHTML, like Gecko) Chrome/34.0.835.0 Safari/534.0",2020-10-21T00:00:00+00:00,2024-12-30T00:00:00+00:00,2020-10-21T00:00:00+00:00
5d9ceb44-2c66-4d74-a1bf-199ea27f9bd5,bc8ad1c7-f283-4e38-98e6-2f0bffa0c61e,mobile,iOS 17.4,Chrome/122.0,220.248.152.120,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_0 like Mac OS X; kn-IN) AppleWebKit/533.3.1 (KHTML, like Gecko) Version/4.0.5 Mobile/8B111 Safari/6533.3.1",2020-02-20T00:00:00+00:00,2025-03-16T00:00:00+00:00,2020-02-20T00:00:00+00:00
ecdfd6b9-faa4-4ca3-9a31-66eac594f439,e907aae7-e222-439e-b00f-7fc93f38f537,mobile,iOS 17,Safari/17.4,192.106.89.73,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_9_6 rv:4.0; uz-UZ) AppleWebKit/532.24.4 (KHTML, like Gecko) Version/5.1 Safari/532.24.4",2019-06-23T00:00:00+00:00,2020-12-24T00:00:00+00:00,2019-06-23T00:00:00+00:00
1bb96a76-3497-4e39-ba20-29938daaef00,892e2973-cd65-4e9a-9b4d-6f3ebb859153,mobile,Android 14,Safari/17.3,115.126.165.47,Opera/8.48.(X11; Linux i686; ti-ET) Presto/2.9.172 Version/12.00,2020-11-19T00:00:00+00:00,2025-08-30T00:00:00+00:00,2020-11-19T00:00:00+00:00
96476d3b-fde2-4878-a7e0-5ff422785222,e24e9ead-af20-4f26-b36f-9bc752db3ce7,mobile,iOS 17,Safari/17.3,165.53.249.215,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.01; Trident/5.1),2026-09-10T06:15:23.429104+00:00,2026-09-11T06:15:23.429104+00:00,2026-09-10T06:15:23.429104+00:00
7b9475ed-562b-4cc4-9944-45b0c04e03cd,a115ce59-253d-4ed8-b69a-12af34cd5d6f,mobile,iOS 17.4,Edge/123.0,25.49.86.245,Opera/8.94.(Windows NT 5.1; wa-BE) Presto/2.9.176 Version/11.00,2020-07-20T00:00:00+00:00,2023-02-07T00:00:00+00:00,2020-07-20T00:00:00+00:00
6df961f0-f989-4aa7-a055-6c680265af1b,bafc3b4e-908c-4cf2-a9e1-28a64d93e735,mobile,Android 14,Edge/123.0,66.217.197.215,"Mozilla/5.0 (Windows 95) AppleWebKit/533.2 (KHTML, like Gecko) Chrome/28.0.860.0 Safari/533.2",2020-09-11T00:00:00+00:00,2023-10-10T00:00:00+00:00,2020-09-11T00:00:00+00:00
6b01ec43-314a-4f9a-90d5-55d6644abdbd,28f8344e-21e5-4ed2-a2ee-459d86c48769,mobile,iOS 16,,167.194.76.104,"Mozilla/5.0 (Windows 98; Win 9x 4.90) AppleWebKit/531.1 (KHTML, like Gecko) Chrome/42.0.885.0 Safari/531.1",2021-04-10T00:00:00+00:00,2025-11-18T00:00:00+00:00,2021-04-10T00:00:00+00:00
ff0603a1-93f9-47f4-a2c8-48e5314a16bb,28f8344e-21e5-4ed2-a2ee-459d86c48769,mobile,iOS 17.4,,58.66.149.139,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.1; Trident/5.0),2023-11-08T00:00:00+00:00,2026-01-30T00:00:00+00:00,2023-11-08T00:00:00+00:00
529a96f6-b91b-4883-9ed9-b6c3952f7bec,992e31ac-1125-48c9-bf21-5d74ec1a1d25,mobile,Android 14,Firefox/125.0,21.251.245.220,Mozilla/5.0 (compatible; MSIE 8.0; Windows 98; Trident/5.1),2023-01-19T00:00:00+00:00,2025-08-20T00:00:00+00:00,2023-01-19T00:00:00+00:00
40fd3519-b75d-4cb1-9923-65eed0704287,992e31ac-1125-48c9-bf21-5d74ec1a1d25,desktop,macOS 13,,142.246.94.232,Mozilla/5.0 (Android 4.0; Mobile; rv:67.0) Gecko/67.0 Firefox/67.0,2020-03-05T00:00:00+00:00,2025-02-03T00:00:00+00:00,2020-03-05T00:00:00+00:00
9cd9488c-9cf3-4c73-884f-37927ccc51fd,18caa0a9-0ab7-4b5d-bcd4-9681ca097b17,mobile,Android 14,Edge/123.0,86.254.151.43,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/42.0.823.0 Safari/534.1",2026-09-09T21:46:34.001784+00:00,2026-09-10T21:46:34.001784+00:00,2026-09-09T21:46:34.001784+00:00
b6236adf-fa81-411e-8d6f-0bc469acdea4,b411a257-94fb-449c-82fa-901b741da3cd,desktop,macOS 13,,150.66.176.82,Opera/9.12.(Windows NT 10.0; mt-MT) Presto/2.9.186 Version/10.00,2020-09-05T00:00:00+00:00,2024-05-02T00:00:00+00:00,2020-09-05T00:00:00+00:00
9f8ef845-72eb-45ab-b880-9f1c52a13702,ecd194fc-4845-4c27-86e3-8d30b5184d1c,mobile,Android 14,Safari/17.4,100.0.187.14,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_0 like Mac OS X; as-IN) AppleWebKit/531.23.2 (KHTML, like Gecko) Version/3.0.5 Mobile/8B118 Safari/6531.23.2",2023-06-25T00:00:00+00:00,2025-09-02T00:00:00+00:00,2023-06-25T00:00:00+00:00
be265270-bcf0-40fc-9345-98568703a7ec,ecd194fc-4845-4c27-86e3-8d30b5184d1c,mobile,Android 14,Safari/17.4,23.222.172.232,Mozilla/5.0 (compatible; MSIE 7.0; Windows 98; Win 9x 4.90; Trident/5.0),2021-07-13T00:00:00+00:00,2025-02-10T00:00:00+00:00,2021-07-13T00:00:00+00:00
1943c6d6-823e-4461-9d55-607abeb4b947,00c818ba-a210-4d25-b92c-5f423f203c22,mobile,Android 13,,50.241.148.216,Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_6_6; rv:1.9.4.20) Gecko/6610-08-13 12:45:09.943451 Firefox/3.8,2019-02-24T00:00:00+00:00,2021-03-29T00:00:00+00:00,2019-02-24T00:00:00+00:00
cc8304d0-3799-466e-9ea2-fe78b54245c5,29715d33-342b-456c-8f59-39b79068b53e,mobile,Android 14,Edge/123.0,2.211.251.126,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_7 rv:3.0; kok-IN) AppleWebKit/535.50.4 (KHTML, like Gecko) Version/5.1 Safari/535.50.4",2021-07-20T00:00:00+00:00,2021-11-14T00:00:00+00:00,2021-07-20T00:00:00+00:00
873177ed-dfab-4f81-9a0f-56096d64cea8,29715d33-342b-456c-8f59-39b79068b53e,mobile,iOS 17,Chrome/123.0,190.62.154.144,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.1; Trident/3.1),2021-05-06T00:00:00+00:00,2024-01-10T00:00:00+00:00,2021-05-06T00:00:00+00:00
2beda424-d0d1-41cb-b887-8a6a43c3142b,29715d33-342b-456c-8f59-39b79068b53e,mobile,Android 14,Chrome/122.0,117.126.43.67,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 4.0; Trident/5.1),2023-08-03T00:00:00+00:00,2026-04-01T00:00:00+00:00,2023-08-03T00:00:00+00:00
9a3ecd2b-fbc7-42a0-a824-8da3eb2b620f,7b125aa2-798c-4633-a62a-cc6cef2ec509,pos_terminal,POS OS 3.2,,206.188.162.100,,2021-03-28T00:00:00+00:00,2024-08-17T00:00:00+00:00,2021-03-28T00:00:00+00:00
d5838738-b8ac-4969-a29d-0dfe6ed8fd0f,5d4210d5-40e7-4a76-bc8a-d37aa9d52401,tablet,iPadOS 16,,188.191.21.131,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_2 like Mac OS X; pl-PL) AppleWebKit/531.34.2 (KHTML, like Gecko) Version/3.0.5 Mobile/8B117 Safari/6531.34.2",2022-03-25T00:00:00+00:00,2022-06-13T00:00:00+00:00,2022-03-25T00:00:00+00:00
8d5f772c-eb5a-4c63-b6bf-dcf820ad2fa8,5d4210d5-40e7-4a76-bc8a-d37aa9d52401,mobile,iOS 17,Edge/123.0,217.143.94.131,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.6.20) Gecko/6252-01-25 00:55:47.957947 Firefox/3.8,2021-03-11T00:00:00+00:00,2024-08-17T00:00:00+00:00,2021-03-11T00:00:00+00:00
c3f726e9-4fdc-4544-b676-34549f9d17b6,467975dd-dc78-420c-90bc-50765462a3e4,mobile,iOS 17.4,,24.116.237.125,Mozilla/5.0 (compatible; MSIE 5.0; Windows 95; Trident/5.1),2022-09-11T00:00:00+00:00,2023-09-21T00:00:00+00:00,2022-09-11T00:00:00+00:00
78b966a2-b8f7-4c7a-bb84-38815dbf05ca,649f7d88-8989-45ab-be2b-34d82db0728d,mobile,Android 14,Edge/123.0,126.85.51.186,"Mozilla/5.0 (iPad; CPU iPad OS 17_1_2 like Mac OS X) AppleWebKit/534.1 (KHTML, like Gecko) FxiOS/13.1s1671.0 Mobile/75P204 Safari/534.1",2022-09-27T00:00:00+00:00,2023-02-10T00:00:00+00:00,2022-09-27T00:00:00+00:00
049bb24b-38e4-4dd6-9e66-af6255b735e8,649f7d88-8989-45ab-be2b-34d82db0728d,pos_terminal,Linux Embedded,,193.97.176.108,,2021-01-25T00:00:00+00:00,2021-12-04T00:00:00+00:00,2021-01-25T00:00:00+00:00
848d150f-9a9e-46a1-9cac-9894bd477655,8bd00908-8b73-4452-9a95-6e552dab3a2d,desktop,macOS 13,Safari/17.4,6.214.251.167,Opera/8.36.(Windows NT 6.0; tig-ER) Presto/2.9.179 Version/12.00,2019-04-02T00:00:00+00:00,2024-06-07T00:00:00+00:00,2019-04-02T00:00:00+00:00
ece3ebd3-d0b2-43db-85cb-9e1476225766,8bd00908-8b73-4452-9a95-6e552dab3a2d,desktop,macOS 13,Edge/123.0,9.171.153.163,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_7_1; rv:1.9.2.20) Gecko/4125-04-04 11:40:37.857849 Firefox/5.0,2020-02-03T00:00:00+00:00,2024-07-15T00:00:00+00:00,2020-02-03T00:00:00+00:00
4dceb78b-9996-4d5e-9d9e-cfe72299b616,8a91919e-473e-4d62-873f-1d9100c3f267,desktop,Windows 10,Edge/123.0,168.50.162.40,Opera/8.65.(X11; Linux x86_64; quz-PE) Presto/2.9.174 Version/10.00,2021-08-02T00:00:00+00:00,2021-12-19T00:00:00+00:00,2021-08-02T00:00:00+00:00
0c787527-3f09-4e0b-befb-e4cae2f5a5b3,1b54711e-88e4-450e-a0e4-d563c78c22c6,mobile,iOS 17,,155.99.154.56,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 4.0; Trident/3.0),2019-12-16T00:00:00+00:00,2020-02-27T00:00:00+00:00,2019-12-16T00:00:00+00:00
db61521d-309e-4647-ba81-acbab38dbc58,1b54711e-88e4-450e-a0e4-d563c78c22c6,mobile,Android 13,Safari/17.3,173.104.251.69,Mozilla/5.0 (Windows NT 11.0; pl-PL; rv:1.9.1.20) Gecko/6701-02-10 15:09:54.502960 Firefox/3.6.1,2022-10-07T00:00:00+00:00,2022-10-29T00:00:00+00:00,2022-10-07T00:00:00+00:00
3f7dcc1a-f635-4c4c-97c7-86e2b6912493,6a5e52e1-f20b-4b32-9ca8-d3ea77cb751d,mobile,Android 14,,26.80.169.60,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.0; Trident/3.1),2021-12-26T00:00:00+00:00,2023-03-13T00:00:00+00:00,2021-12-26T00:00:00+00:00
